InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
544798,SWM-001A,PRINTED SURF BIKINI TOP - CORAL,3,2023-09-27 00:00:00,39.18,10907.0,Australia
538506,SWM-009A,UV50 LONG-SLEEVE SWIM TOP - BLACK,1,2023-08-13 00:00:00,54.09,10266.0,United States
540078,SWM-017A,SURF JOURNAL - KRAFT,3,2023-05-12 00:00:00,19.9,10416.0,Portugal
542057,SWM-004A,LINEN BEACH COVER-UP DRESS - WHITE,3,2023-10-24 00:00:00,68.87,10601.0,United States
542610,SWM-005A,TERRY CLOTH BUCKET HAT - ECRU,2,2023-05-11 00:00:00,26.52,10671.0,Portugal
544009,SWM-001B,PRINTED SURF BIKINI BOTTOM - CORAL,4,2023-01-28 00:00:00,37.37,10826.0,France
538550,SWM-003A,HIGH-NECK RASH GUARD - NAVY,3,2023-08-18 00:00:00,56.28,10267.0,United States
539772,SWM-008A,WATERPROOF TOTE BAG - NATURAL,2,2023-06-27 00:00:00,47.11,10382.0,New Zealand
539047,SWM-001B,PRINTED SURF BIKINI BOTTOM - CORAL,1,2023-10-08 00:00:00,37.85,10314.0,Japan
547118,SWM-001A,PRINTED SURF BIKINI TOP - CORAL,3,2023-05-23 00:00:00,40.85,11165.0,United States
536567,SWM-009A,UV50 LONG-SLEEVE SWIM TOP - BLACK,3,2023-12-20 00:00:00,54.44,10050.0,Australia
543973,SWM-014B,REVERSIBLE BIKINI BOTTOM - BLACK/WHITE,3,2023-05-14 00:00:00,39.49,10824.0,Australia
543839,SWM-010B,BIKINI BOTTOM MINIMALIST - TERRACOTTA,1,2023-08-26 00:00:00,34.22,10802.0,New Zealand
545019,SWM-012A,SURF WAX KIT - COOL,3,2023-11-08 00:00:00,12.17,10930.0,Australia
542252,SWM-011A,MESH SARONG WRAP - FOREST GREEN,4,2023-05-01 00:00:00,31.41,10626.0,United States
546695,SWM-001B,PRINTED SURF BIKINI BOTTOM - CORAL,1,2023-05-13 00:00:00,36.23,11123.0,Australia
538179,SWM-015A,PACKABLE BEACH BLANKET - STRIPE,4,2023-10-05 00:00:00,53.04,10229.0,Australia
543064,SWM-012A,SURF WAX KIT - COOL,4,2023-07-27 00:00:00,11.2,10714.0,Spain
540985,SWM-003A,HIGH-NECK RASH GUARD - NAVY,1,2023-07-21 00:00:00,50.89,10508.0,Australia
544570,SWM-010A,BIKINI TOP MINIMALIST - TERRACOTTA,1,2023-10-04 00:00:00,38.17,10884.0,Australia
539191,SWM-005A,TERRY CLOTH BUCKET HAT - ECRU,2,2023-02-12 00:00:00,27.72,10332.0,Australia
546881,SWM-009A,UV50 LONG-SLEEVE SWIM TOP - BLACK,1,2023-06-20 00:00:00,56.97,11141.0,Australia
546832,SWM-016A,SHELL HAIR CLIP SET,2,2023-03-23 00:00:00,15.17,11136.0,United States
540982,SWM-009A,UV50 LONG-SLEEVE SWIM TOP - BLACK,2,2023-06-10 00:00:00,55.62,10508.0,Australia
540296,SWM-008A,WATERPROOF TOTE BAG - NATURAL,3,2023-11-22 00:00:00,47.39,10437.0,Australia
539015,SWM-005A,TERRY CLOTH BUCKET HAT - ECRU,3,2023-03-25 00:00:00,27.52,10310.0,Australia
543887,SWM-005A,TERRY CLOTH BUCKET HAT - ECRU,4,2023-05-30 00:00:00,26.37,10809.0,United States
542908,SWM-005A,TERRY CLOTH BUCKET HAT - ECRU,2,2023-08-28 00:00:00,27.63,10699.0,France
546401,SWM-010B,BIKINI BOTTOM MINIMALIST - TERRACOTTA,3,2023-06-07 00:00:00,33.45,11087.0,New Zealand
544562,SWM-015A,PACKABLE BEACH BLANKET - STRIPE,3,2023-08-23 00:00:00,48.26,10883.0,Australia
546035,SWM-008A,WATERPROOF TOTE BAG - NATURAL,1,2023-05-03 00:00:00,44.47,11048.0,United States
540750,SWM-002A,RIBBED ONE-PIECE SWIMSUIT - SAND,4,2023-05-08 00:00:00,92.82,10493.0,Australia
541392,SWM-002A,RIBBED ONE-PIECE SWIMSUIT - SAND,2,2023-04-14 00:00:00,91.49,10543.0,Australia
541253,SWM-002A,RIBBED ONE-PIECE SWIMSUIT - SAND,2,2023-12-01 00:00:00,89.09,10532.0,Spain
544503,SWM-014A,REVERSIBLE BIKINI TOP - BLACK/WHITE,2,2023-05-31 00:00:00,41.66,10879.0,Australia
536136,SWM-014A,REVERSIBLE BIKINI TOP - BLACK/WHITE,4,2023-07-25 00:00:00,45.23,10015.0,Brazil
537709,SWM-008A,WATERPROOF TOTE BAG - NATURAL,3,2023-10-26 00:00:00,47.82,10176.0,New Zealand
544059,SWM-016A,SHELL HAIR CLIP SET,1,2023-07-22 00:00:00,13.62,10830.0,New Zealand
536341,SWM-001B,PRINTED SURF BIKINI BOTTOM - CORAL,1,2023-05-03 00:00:00,37.71,10035.0,Australia
539516,SWM-014B,REVERSIBLE BIKINI BOTTOM - BLACK/WHITE,4,2023-09-06 00:00:00,36.69,10358.0,Australia
537794,SWM-006A,RECYCLED NYLON BOARD SHORTS - OLIVE,1,2023-10-20 00:00:00,65.0,10190.0,Canada
545715,SWM-014A,REVERSIBLE BIKINI TOP - BLACK/WHITE,2,2023-12-02 00:00:00,39.66,11003.0,Brazil
536273,SWM-013A,BIODEGRADABLE SUNSCREEN SPF50,1,2023-08-08 00:00:00,21.99,10030.0,Indonesia
544537,SWM-002A,RIBBED ONE-PIECE SWIMSUIT - SAND,3,2023-09-23 00:00:00,82.51,10882.0,Australia
542343,SWM-007A,BEADED ANKLET SET - GOLD,2,2023-05-03 00:00:00,17.7,10636.0,United States
543490,SWM-008A,WATERPROOF TOTE BAG - NATURAL,2,2023-09-28 00:00:00,45.79,10764.0,New Zealand
C545652,SWM-003A,HIGH-NECK RASH GUARD - NAVY,-1,2023-02-13 00:00:00,53.88,11000.0,United States
547320,SWM-012A,SURF WAX KIT - COOL,2,2023-05-28 00:00:00,11.67,11177.0,Australia
539653,SWM-001B,PRINTED SURF BIKINI BOTTOM - CORAL,3,2023-07-01 00:00:00,36.42,10367.0,Australia
546867,SWM-015A,PACKABLE BEACH BLANKET - STRIPE,4,2023-02-08 00:00:00,50.27,11141.0,Australia
539206,SWM-013A,BIODEGRADABLE SUNSCREEN SPF50,4,2023-06-04 00:00:00,21.13,10332.0,Australia
543323,SWM-011A,MESH SARONG WRAP - FOREST GREEN,1,2023-04-28 00:00:00,31.26,10747.0,Canada
542299,SWM-001B,PRINTED SURF BIKINI BOTTOM - CORAL,4,2023-01-11 00:00:00,38.03,10632.0,Spain
537087,SWM-017A,SURF JOURNAL - KRAFT,1,2023-03-30 00:00:00,18.19,10113.0,Australia
537552,SWM-015A,PACKABLE BEACH BLANKET - STRIPE,3,2023-11-10 00:00:00,47.32,10161.0,Australia
545243,SWM-001A,PRINTED SURF BIKINI TOP - CORAL,4,2023-11-16 00:00:00,37.97,10949.0,Brazil
543941,SWM-001B,PRINTED SURF BIKINI BOTTOM - CORAL,4,2023-11-02 00:00:00,34.69,10818.0,United States
536109,SWM-001A,PRINTED SURF BIKINI TOP - CORAL,3,2023-09-19 00:00:00,40.73,10010.0,Australia
541402,SWM-015A,PACKABLE BEACH BLANKET - STRIPE,1,2023-06-12 00:00:00,49.37,10543.0,Australia
536678,SWM-004A,LINEN BEACH COVER-UP DRESS - WHITE,3,2023-10-17 00:00:00,73.23,10060.0,Australia
543323,SWM-006A,RECYCLED NYLON BOARD SHORTS - OLIVE,3,2023-04-28 00:00:00,65.16,10747.0,Canada
539459,SWM-008A,WATERPROOF TOTE BAG - NATURAL,4,2023-12-17 00:00:00,47.96,10351.0,France
546278,SWM-014A,REVERSIBLE BIKINI TOP - BLACK/WHITE,2,2023-12-23 00:00:00,45.96,11077.0,France
546050,SWM-009A,UV50 LONG-SLEEVE SWIM TOP - BLACK,4,2023-05-09 00:00:00,55.36,11051.0,Portugal
540292,SWM-010A,BIKINI TOP MINIMALIST - TERRACOTTA,1,2023-11-06 00:00:00,41.42,10437.0,Australia
538980,SWM-012A,SURF WAX KIT - COOL,4,2023-04-30 00:00:00,12.29,10307.0,United States
540078,SWM-004A,LINEN BEACH COVER-UP DRESS - WHITE,4,2023-05-12 00:00:00,73.54,10416.0,Portugal
538128,SWM-014A,REVERSIBLE BIKINI TOP - BLACK/WHITE,4,2023-02-05 00:00:00,40.2,10225.0,Brazil
544291,SWM-006A,RECYCLED NYLON BOARD SHORTS - OLIVE,3,2023-08-05 00:00:00,60.27,10854.0,Australia
545095,SWM-008A,WATERPROOF TOTE BAG - NATURAL,1,2023-09-16 00:00:00,48.16,10935.0,Australia
541059,SWM-011A,MESH SARONG WRAP - FOREST GREEN,1,2023-09-05 00:00:00,32.72,10515.0,United States
542335,SWM-017A,SURF JOURNAL - KRAFT,2,2023-05-19 00:00:00,19.33,10634.0,Australia
536472,SWM-001A,PRINTED SURF BIKINI TOP - CORAL,4,2023-09-30 00:00:00,38.87,10046.0,United States
536915,SWM-001B,PRINTED SURF BIKINI BOTTOM - CORAL,4,2023-08-02 00:00:00,38.28,10095.0,Brazil
543381,SWM-015A,PACKABLE BEACH BLANKET - STRIPE,3,2023-12-01 00:00:00,49.82,10751.0,Spain
537601,SWM-001B,PRINTED SURF BIKINI BOTTOM - CORAL,4,2023-04-09 00:00:00,35.82,10165.0,Canada
542549,SWM-009A,UV50 LONG-SLEEVE SWIM TOP - BLACK,1,2023-09-23 00:00:00,52.83,10660.0,Portugal
538888,SWM-017A,SURF JOURNAL - KRAFT,3,2023-04-06 00:00:00,18.49,10302.0,Australia
542679,SWM-002A,RIBBED ONE-PIECE SWIMSUIT - SAND,3,2023-08-22 00:00:00,85.01,10676.0,Australia
540869,SWM-009A,UV50 LONG-SLEEVE SWIM TOP - BLACK,3,2023-08-11 00:00:00,60.17,10498.0,Australia
547379,SWM-010A,BIKINI TOP MINIMALIST - TERRACOTTA,2,2023-11-21 00:00:00,41.91,11183.0,Australia
541402,SWM-010A,BIKINI TOP MINIMALIST - TERRACOTTA,4,2023-06-12 00:00:00,39.87,10543.0,Australia
545691,SWM-005A,TERRY CLOTH BUCKET HAT - ECRU,4,2023-03-07 00:00:00,27.75,11001.0,France
544202,SWM-013A,BIODEGRADABLE SUNSCREEN SPF50,1,2023-10-06 00:00:00,20.15,10846.0,New Zealand
542193,SWM-009A,UV50 LONG-SLEEVE SWIM TOP - BLACK,3,2023-02-20 00:00:00,53.02,10621.0,United States
540822,SWM-006A,RECYCLED NYLON BOARD SHORTS - OLIVE,3,2023-11-24 00:00:00,62.77,10496.0,Australia
547233,SWM-009A,UV50 LONG-SLEEVE SWIM TOP - BLACK,3,2023-03-20 00:00:00,53.54,11172.0,Australia
539032,SWM-014A,REVERSIBLE BIKINI TOP - BLACK/WHITE,4,2023-05-09 00:00:00,41.86,10311.0,France
536224,SWM-013A,BIODEGRADABLE SUNSCREEN SPF50,4,2023-09-05 00:00:00,19.94,10027.0,United States
541510,SWM-001B,PRINTED SURF BIKINI BOTTOM - CORAL,3,2023-02-20 00:00:00,38.32,10553.0,Australia
541080,SWM-003A,HIGH-NECK RASH GUARD - NAVY,4,2023-08-23 00:00:00,54.05,10519.0,Portugal
537890,SWM-016A,SHELL HAIR CLIP SET,4,2023-02-14 00:00:00,15.64,10200.0,New Zealand
C538971,SWM-015A,PACKABLE BEACH BLANKET - STRIPE,-4,2023-04-16 00:00:00,49.68,10306.0,Canada
543467,SWM-001B,PRINTED SURF BIKINI BOTTOM - CORAL,2,2023-08-27 00:00:00,35.31,10761.0,Indonesia
538057,SWM-017A,SURF JOURNAL - KRAFT,2,2023-06-05 00:00:00,17.82,10215.0,Australia
539615,SWM-012A,SURF WAX KIT - COOL,4,2023-07-03 00:00:00,12.27,10365.0,United States
539973,SWM-014A,REVERSIBLE BIKINI TOP - BLACK/WHITE,2,2023-09-17 00:00:00,42.86,10403.0,Australia
538214,SWM-008A,WATERPROOF TOTE BAG - NATURAL,4,2023-03-08 00:00:00,42.66,10231.0,New Zealand
540408,SWM-016A,SHELL HAIR CLIP SET,4,2023-04-26 00:00:00,15.39,10450.0,Australia
542817,SWM-007A,BEADED ANKLET SET - GOLD,3,2023-09-09 00:00:00,17.06,10692.0,United States
541981,SWM-015A,PACKABLE BEACH BLANKET - STRIPE,3,2023-05-09 00:00:00,50.21,10593.0,Australia
547103,SWM-010A,BIKINI TOP MINIMALIST - TERRACOTTA,2,2023-09-26 00:00:00,39.93,11164.0,United States
539060,SWM-004A,LINEN BEACH COVER-UP DRESS - WHITE,4,2023-07-21 00:00:00,72.98,10317.0,Portugal
546950,SWM-001A,PRINTED SURF BIKINI TOP - CORAL,3,2023-08-09 00:00:00,43.16,11149.0,Brazil
543988,SWM-004A,LINEN BEACH COVER-UP DRESS - WHITE,4,2023-09-01 00:00:00,74.0,10824.0,Australia
